60	176	It's not a Picnic, You Know!	Mixed	20:13:05	1:54:53	3:53:13	8:40:10	12:56:36	15:34:09	17:47:09	20:13:05
61	126	Off the Rocker	Mixed	20:18:01	2:03:15	4:12:25	9:03:41	12:53:12	16:34:45	18:16:17	20:18:01
62	86	On The Rocks	Mixed	20:18:44	2:01:06	4:03:57	8:56:07	13:42:38	16:24:11	18:02:54	20:18:44
63	110	BEARLY SOBER	Mixed	20:19:22	2:05:01	4:53:22	9:21:47	14:06:19	17:17:04	18:41:53	20:19:22
64	99	R We Nuts?	Mixed	20:24:09	1:55:21	4:12:04	9:21:44	13:25:58	16:27:16	18:28:39	20:24:09
65	175	Fuelled by Beer	Mixed	20:24:11	1:43:51	4:09:32	9:04:17	13:29:49	16:37:45	18:10:00	20:24:11
66	107	RWA IV	Mixed	20:28:07	1:52:01	3:59:33	8:56:17	13:07:47	16:44:06	18:37:18	20:28:07
67	81	Fringe Monkeys	Mixed	20:32:41	1:44:53	4:44:12	9:00:26	13:16:50	16:39:30	18:36:30	20:32:41
68	134	Lame Ducks	Mixed	20:36:43	2:05:52	4:37:51	8:59:35	13:01:19	16:07:45	18:33:23	20:36:43
69	49	Fleet of Feet V	Mixed	20:41:20	2:27:32	4:47:38	10:09:16	14:46:35	17:38:12	19:15:02	20:41:20
70	48	EH3 Again	Mixed	20:44:41	1:51:40	4:16:38	9:17:49	13:24:49	17:18:17	18:54:41	20:44:41
71	96	RWA II	Mixed	20:47:55	1:52:12	5:06:08	10:19:49	14:20:54	17:24:08	19:02:24	20:47:55
72	180	DreamRunners	Mixed	20:53:55	2:18:31	4:20:20	9:37:50	13:50:02	16:53:06	19:21:50	20:53:55
73	146	SOF EDM Platoon 3	Mixed	20:54:22	1:55:29	4:22:28	9:30:15	14:18:45	17:27:23	19:10:03	20:54:22
74	162	Ultra Dumb	Mixed	20:57:28	1:48:22	3:44:02	8:43:14	12:46:54	15:47:53	18:04:24	20:57:28
75	17	Twinkle Toes	Mixed	21:00:23	1:46:55	4:24:38	10:01:38	14:08:58	17:13:45	19:08:38	21:00:23
76	103	Trail Nuts	Mixed	21:04:40	1:47:58	4:33:49	9:09:29	13:51:34	17:23:19	18:54:33	21:04:40
77	182	Spider Monkies	Mixed	21:08:57	2:01:59	4:11:08	9:23:16	13:31:54	16:31:23	18:04:54	21:08:57
78	82	Republic of Buckle	Mixed	21:11:26	2:02:53	4:21:47	9:01:04	13:44:45	17:02:47	19:18:28	21:11:26
79	31	Sure-footed flatlanders	Mixed	21:12:30	2:08:25	4:50:46	10:01:54	14:03:58	17:36:42	19:14:12	21:12:30
80	152	Kiss My Asphalt	Mixed	21:13:40	2:08:51	4:55:54	9:26:11	14:05:02	17:36:09	19:09:06	21:13:40
81	178	Thank you Cochrane!	Mixed	DNF	2:27:30	5:12:59	10:08:57	14:02:29	17:19:57	19:27:17	21:18:30
82	164	F.E.A.R	Mixed	21:19:52	1:42:37	3:54:08	9:06:57	13:01:29	17:53:00	19:26:41	21:19:52
83	12	EH3	Mixed	21:20:24	2:01:00	4:17:48	9:17:52	13:51:08	17:14:08	19:17:02	21:20:24
84	29	Tech Pro 2.0	Mixed	21:25:35	2:17:02	4:28:12	9:06:06	13:23:44	16:40:42	18:52:29	21:25:35
85	130	Seven Super Stoked Sinners Seriously Shred Sneaks	Mixed	21:32:47	2:00:52	6:53:54	10:19:33	14:30:45	17:41:19	19:49:41	21:32:47
86	47	Every Day We're Shufflin'	Mixed	21:34:17	1:47:22	4:40:03	8:51:36	14:22:45	17:12:52	19:08:20	21:34:17
87	100	Sprinters Walkers and Trash Talkers	Mixed	21:40:41	2:02:24	5:29:18	9:52:44	14:15:16	17:58:35	19:38:22	21:40:41
88	20	Misters, Sisters, and Blisters	Mixed	21:40:57	1:49:16	4:03:16	9:46:14	15:02:17	18:32:24	20:10:26	21:40:57
89	102	Runners With Attitude	Mixed	21:42:33	1:38:43	4:16:26	10:26:35	15:10:26	18:27:34	19:56:11	21:42:33
90	191	Team Boots to Asses!	Mixed	21:44:08	1:57:44	4:18:33	9:36:06	14:31:45	17:46:10	19:45:05	21:44:08
91	197	Running Wild: And Lovin' It	Mixed	21:44:12	2:32:43	4:59:02	9:38:01	14:27:57	17:46:52	19:45:53	21:44:12
92	131	SOF EDM Platoon 2	Mixed	21:45:55	1:56:01	4:25:27	9:58:54	14:37:31	17:50:42	19:33:41	21:45:55
93	203	In my flippy floppies	Mixed	21:46:37	2:27:10	5:08:25	9:38:59	14:30:41	18:09:30	19:58:05	21:46:37
94	124	Sweet Swass	Mixed	21:47:54	1:59:56	4:47:48	10:10:41	15:12:37	18:14:50	20:04:38	21:47:54
95	135	RWA - Pants Party	Mixed	21:48:00	1:53:18	5:13:13	9:46:53	14:14:15	18:19:24	19:43:11	21:48:00
96	79	Honey Badgers	Mixed	21:48:08	2:10:56	4:34:02	9:40:49	14:02:41	17:28:15	19:50:25	21:48:08
97	101	WAR MACHINES!	Mixed	21:55:42	2:09:25	4:37:32	9:34:18	13:58:17	17:55:44	19:38:09	21:55:42
98	106	Fast Friars	Mixed	21:58:11	2:12:07	5:17:53	9:45:56	15:27:24	18:31:49	20:14:25	21:58:11
99	127	RWA - Fortitude	Mixed	21:59:44	1:52:47	4:38:16	11:06:42	15:21:47	18:36:46	20:05:03	21:59:44
100	113	Sole Survivors	Mixed	22:00:10	2:10:05	4:38:47	9:40:20	14:25:41	17:24:17	20:05:06	22:00:10
101	88	Scenic Route My Ass!	Mixed	22:00:18	1:41:16	3:46:35	10:58:09	15:21:34	18:50:32	20:31:22	22:00:18
102	80	A Scots, A Paddy and A Cloggie	Mixed	22:01:53	1:40:07	3:38:52	8:33:05	13:09:05	18:05:18	19:33:09	22:01:53
103	147	Fast and Furious	Mixed	22:07:07	1:37:54	4:12:38	9:17:01	14:53:41	18:23:35	20:28:39	22:07:07
104	97	Toque	Mixed	22:08:45	2:10:37	4:17:31	9:44:59	14:47:03	18:19:18	20:11:13	22:08:45
105	59	We are sofa king lost Danuta	Mixed	22:10:44	1:42:58	4:29:05	10:02:46	13:44:29	17:34:27	19:32:50	22:10:44
106	173	Bloody Penguins	Mixed	22:14:21	2:12:32	4:17:05	10:01:47	15:28:02	18:31:07	20:10:14	22:14:21
107	15	Sinister Attack Squad	Mixed	22:24:32	2:05:12	5:24:29	11:19:35	15:47:55	18:40:46	20:39:11	22:24:32
108	60	Coconut Bangers' Ball	Mixed	22:27:30	1:52:43	5:38:48	10:16:24	14:23:15	18:06:05	20:30:04	22:27:30
109	2	Your Pace or Mine	Mixed	22:34:28	1:56:04	4:33:37	11:07:02	15:15:47	18:55:13	20:18:36	22:34:28
110	53	The Dirty Half Dozen + One	Mixed	22:34:39	2:02:18	4:35:38	10:10:17	15:17:14	19:09:36	20:39:59	22:34:39
111	45	Running Ravens	Mixed	22:35:22	1:58:58	4:15:05	9:20:46	14:18:54	18:02:34	19:59:07	22:35:22
112	179	The Worst of Sinners	Mixed	22:37:46	1:54:10	4:46:00	10:29:48	14:57:55	18:42:36	20:33:35	22:37:46
113	10	1step 2step breathe repeat	Mixed	22:38:09	1:59:21	5:08:20	9:48:46	14:52:03	18:26:37	20:20:39	22:38:09
114	78	One More Mile...	Mixed	22:39:25	2:34:55	5:24:38	10:28:28	14:58:52	19:14:43	20:55:13	22:39:25
115	187	Beavers & Bucks	Mixed	22:39:48	2:17:04	5:10:04	10:17:35	14:21:16	18:52:16	20:35:01	22:39:48
116	194	Team Awesome	Mixed	22:48:40	1:59:53	4:47:55	9:39:38	14:34:31	17:34:10	20:12:11	22:48:40
117	118	The City Sinners	Mixed	22:49:00	2:15:43	4:25:53	9:47:41	14:42:17	18:36:15	20:34:39	22:49:00
118	37	Twisted Blister	Mixed	22:51:38	2:09:19	4:47:41	10:23:21	14:51:08	18:59:26	20:45:33	22:51:38
119	200	Buck Mountain Central School	Mixed	22:53:09	1:54:03	4:16:20	10:16:10	15:17:05	18:40:56	20:47:12	22:53:09
120	67	Brandy Bunch	Mixed	22:55:47	1:49:21	4:14:09	9:38:35	15:44:48	19:17:46	20:52:27	22:55:47
121	84	Sculpt Conditioning Team Alpha	Mixed	22:58:56	1:49:01	4:20:57	8:22:29	12:47:58	16:08:41	18:33:45	22:58:56
122	69	Sculpt Conditioning Team Bravo	Mixed	22:59:17	2:01:39	5:08:39	10:04:36	14:59:41	18:49:51	20:55:26	22:59:17
123	26	Gluttons for Punishment-Part I	Mixed	22:59:20	1:37:46	4:02:28	9:06:01	15:19:19	18:43:31	20:48:37	22:59:20
124	76	Braindead	Mixed	23:12:39	2:24:11	5:12:29	10:07:41	14:51:44	19:30:37	21:30:41	23:12:39
125	24	Captain Miserable and the Creeps	Mixed	23:21:13	2:03:11	4:57:50	10:49:25	15:35:05	19:07:00	21:13:39	23:21:13
126	9	I got 99 problems but a hill ain't one	Mixed	23:25:13	1:49:36	4:58:08	10:47:18	15:22:22	19:31:07	21:31:45	23:25:13
127	63	JBF - Inglorious Fastards	Mixed	23:27:24	2:06:42	4:43:29	9:56:20	15:06:33	19:42:30	21:31:01	23:27:24
128	167	Dynamic Duo	Mixed	23:29:07	1:45:41	4:22:03	10:58:37	14:54:25	18:49:38	21:08:01	23:29:07
129	201	1 Canadian Mechanized Brigade Group Mixed Team	Mixed	23:30:19	1:43:45	4:15:10	9:30:48	15:44:37	18:50:53	21:19:47	23:30:19
130	30	SICK SIX!	Mixed	23:33:11	1:53:00	5:17:46	10:40:11	16:17:17	19:59:18	21:58:52	23:33:11
131	71	Spirit Runners	Mixed	23:37:12	2:03:20	4:46:13	10:48:31	15:01:02	19:06:50	20:45:19	23:37:12
